subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Real Estate Vocabulary Exam,An executory contract is a:,written contract that cannot be altered by oral agreement.,contract with an executor of an estate.,contract that has been fully performed.,contract that is yet to be performed by one or both parties.,d,"Answer: D. An executory contract is one that is to be performed, as distinct from an executed contract, which has been fully performed."
Real Estate Vocabulary Exam,Mr. Applegate purchased a home in a subdivision through Broker Able. Applegate applied for a loan and on the loan application there were two boxes that he was asked to check. One box was for marital status and the other for race. Applegate may:,sue the broker arranging the loan and the loan officer for asking these questions on the loan application.,be required to answer these two questions by the lender in order for the loan to be processed.,file a complaint with the real estate commissioner.,refuse to answer the questions on race and marital status.,d,"Answer: D. The applicant may refuse to answer about race since the information is optional on the typical real estate loan application. Both federal and California law prohibit discrimination on the basis of marital status. Therefore, marital status cannot be considered by the lender to be a material fact. The borrower, then, may refuse to answer the question."
Real Estate Vocabulary Exam,A landlord and tenant mutually agree to terminate a lease. This is often referred to as:,rescission,abandonment,release,surrender,d,"Answer: D. Surrender is a mutual agreement between the landlord and tenant to terminate a lease. Rescission is a mutual agreement to release each other from any contract before performance, under which the parties must restore each other to their former positions."
Real Estate Vocabulary Exam,"Under the Truth-in-Lending Act, a ""Notice of Cancellation"" could be given when the loan was:",secured by a commercial building.,used for business expansion.,secured by the owner's residence.,"more than $25,000 and was not secured.",c,"Answer: C. The federal Truth-in-Lending Act requires a ""Notice of Right to Rescind"" only when security for the loan is the borrower's existing principal residence."
Real Estate Vocabulary Exam,What would create an interest in property with possessory rights but no form of title?:,Sublease,Land contract,Mortgage,Easement,a,"Answer: A. A sublease is a transfer of less than the leasehold with the reversion in the sublessor and would create no form of title in the sublessee. A land contract transfers (1) possession, (2) equitable title, and (3) the right to acquire the fee title after all the conditions of the contract have been met. A mortgage does not convey any possessory interest; it is a security device."
Real Estate Vocabulary Exam,An appraiser received a $300 fee from Jones for appraising Brown's property. The appraiser may discuss the details of the appraisal with:,Jones,no one,Brown,anyone,a,"Answer: A. The appraiser should preserve a professional confidential relationship with his or her client and should report the conclusions and valuation concerning the property only to the client. Although Brown owns the property, Brown is not entitled to information paid for by Jones. Lenders do have an obligation by law to provide a copy of the appraisal to a borrower under specific circumstances."
Real Estate Vocabulary Exam,"In the planning and engineering of a tract for subdivision purposes, a ""cul-de-sac"" is frequently employed. This term is in reference to the installation of:",recreation areas,sewage disposal,streets,drainage,c,Answer: C. Cul-de-sac refers to a dead-end street.
Real Estate Vocabulary Exam,A broker who is not authorized to accept deposits in his listing agreement must inform the offeror that:,no deposits will be accepted.,an agent must accept all deposits.,the risk of loss lies solely with the buyer. The seller will not be liable in event of loss of the deposit.,"it is implied by law that if authorized by the seller, deposits can be accepted.",c,"Answer: C. An agent who accepts a deposit from a buyer, even though not authorized by the seller to do so, acts as an agent of the buyer as to the handling of that deposit. Since the seller would not be liable in the event of loss of the deposit, the buyer should be so informed."
Real Estate Vocabulary Exam,A clause in a second trust deed that permits the first trust deed to be refinanced without affecting its priority would be known as:,an acceleration clause.,a submortgage.,none of these.,an alienation clause.,c,Answer: C. A subordination clause is a clause that allows for such a change in lien priority.
Real Estate Vocabulary Exam,"When an existing contract is replaced by an entirely new contract, this is an act of:",subrogation,novation,hypothecation,rescission,b,Answer: B. The word novation comes from the Latin words meaning to make new.
Real Estate Vocabulary Exam,The distinguishing characteristic of real property as opposed to personal property is that real property:,can be depreciated over useful life.,is a long-term asset.,is immovable.,has a high cost of acquisition.,c,Answer: C. Real property consists of that which is immovable by law.
