subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Property ownership and land use controls and regulations,"The first component of real estate is land, which includes:",soil.,rocks.,reasonable airspace above the earth.,All the above.,d,d - Land is inclusive of all listed answer choices.
Property ownership and land use controls and regulations,The northeast 1/4 of a section contains:,160 acres.,320 acres.,10 acres.,40 acres.,a,"a - There are 640 acres in a section. Divide this by four to find the area of a quarter section, 160 acres."
Property ownership and land use controls and regulations,How many square feet are in three acres of land?,"130,680","217,800","143,560","43,560",a,"a - An acre of land contains 43,560 square feet. Thus, three acres of land equals 130,680 square feet. The conversion of acreage to square feet is the most common type of math question on the state exam."
Property ownership and land use controls and regulations,An individual may obtain title by all the following means except:,grant.,escheat.,adverse use.,descent.,b,b - An individual may not obtain title by escheat. Only the state government may acquire title through escheat.
Property ownership and land use controls and regulations,There are baseline and meridian systems in California.,36,12,3,infinite,c,"c - The three baseline and meridian systems in California are Humboldt, Mt. Diablo and San Bernardino."
Property ownership and land use controls and regulations,Which of the following would be the least desirable reference point for a metes and bounds description?,The corner of a section.,A township line.,The corner of a quarter section.,A riverbank.,d,d - A riverbank may shift over time.
Property ownership and land use controls and regulations,"A lot contains 73,000 square yards. How many acres does this equal?",29,14.7,10,15.1,d,"d - The parcel of land is described in square yards. First determine how many square feet this equals by multiplying the square yard by 9. 73,000 x 9 = 657,000 square feet. Then, divide by 43,560 (the square feet in one acre). 657,000 / 43,560 = 15.1 acres. Chapter 1: Property ownership and land use controls and regulations 31"
Property ownership and land use controls and regulations,Which of the following statements regarding zoning is true?,Zoning is never retroactive.,Aesthetic values are not an interest in the establishment of zoning.,Zoning always takes precedence over deed restrictions.,Zoning law always keeps commercial and residential properties separate.,a,"a - Zoning cannot apply to existing structures, only structures to be built."
Property ownership and land use controls and regulations,Before a new home can be occupied:,all construction loans need to be paid off.,a certificate of occupancy must be issued by the local building department.,a notice of completion needs to be recorded by the owner.,offsite improvements need to be complete.,b,b - A certificate of occupancy issued by the building department is proof of habitability.
Property ownership and land use controls and regulations,"On a zoning map, ‘M’ generally indicates:",multiple use.,multi-unit.,manufacturing.,mobile homes.,c,"c - M = manufacturing, C = commercial, R = residential."
Property ownership and land use controls and regulations,The Subdivision Map Act grants control to the:,corporation counsel.,Department of Real,local government.,state building inspector. Estate (DRE).,c,c - The Subdivisions Map Act is controlled by local authorities. Subdivided Lands Law is controlled by the DRE.
Property ownership and land use controls and regulations,An owner with riparian rights has rights relating to the use and ownership of water from which of the following sources:,"rivers, streams and watercourses.",oceans and bays.,underground caves with water.,swimming pools and watering systems.,a,a - Riparian rights apply to all surface waters.
Property ownership and land use controls and regulations,Individual ownership of a lot and common ownership of other areas in the development constitutes a:,fully improved subdivision.,planned unit development (PUD).,multi-unit apartment project.,condominium.,b,b - A planned unit development (PUD) has common areas in addition to individual ownership of a house.
Property ownership and land use controls and regulations,The Real Estate Commissioner rescinds their approval of a subdivision by:,issuing an injunction.,issuing a writ of prohibition.,revoking the developer’s license.,issuing a desist and refrain order.,d,"d - To stop a development, the Real Estate Commissioner files a desist and refrain order against the developer."
Property ownership and land use controls and regulations,A roof on which all four sides slope to the eaves is classified as a:,gambrel roof.,gable roof.,mansard roof.,hip roof.,d,d - A roof with four sides is called hip. A two-sided roof is gable.
Property ownership and land use controls and regulations,Real property does not include:,watercourses.,improvements.,fences.,leasehold estates.,d,"d - A leasehold estate is less-than-freehold, and therefore not real property."
Property ownership and land use controls and regulations,Which of the following is regarded as real property?,Growing crops that have been mortgaged.,Crops that have been sold but have not been harvested.,Riparian rights.,Trade fixtures.,c,c - Riparian rights go with the land and are appurtenant to it.
Property ownership and land use controls and regulations,A primary difference between real and personal property is that real property:,can be held in joint ownership.,is immovable.,is always subject to depreciation.,can be willed.,b,"b - Land is immovable, personal property is not."
Property ownership and land use controls and regulations,A dispute over ownership rights and interests held in real property may be settled by:,a quiet title action.,a partition action.,a declaratory relief action.,a lis pendens.,a,a - Quiet title is a court action to clear clouds on a property’s title.
Property ownership and land use controls and regulations,"If a person dies without a will and with no identifiable heirs, the state acquires title to their real property through:",patent.,condemnation.,escheat.,forfeiture.,c,c - Escheat is a state action to revert property to government ownership when an owner dies with no will or heirs.
Property ownership and land use controls and regulations,Which of these rights of ownership do individuals not have?,Severance rights.,Eminent domain rights.,Riparian rights.,Reliction rights.,b,b - Eminent domain is the government power to seize property written into the U.S. constitution. Reliction refers to an increase in land bordering a body of water due to receding water.
Property ownership and land use controls and regulations,Basic regulation of the housing and construction industries is performed by:,the State Housing Act.,local building codes.,the state Contractor’s License Law.,All the above.,d,d - All the above. Each entity plays a role in construction and housing standards.
Property ownership and land use controls and regulations,The general purpose of local building codes is to assure:,the most efficient utilization of skilled labor.,compliance with regulatory agencies.,compliance with minimum construction requirements.,cost effectiveness in building through uniformity of building standards.,c,"c - Local building codes are not concerned with labor, regulation or cost effectiveness."
